ID,Lat,Lon,Depth_km,Mw,Strike_1,Dip_1,Rake_1,P_trend,P_plunge,T_trend,T_plunge,Strike_2,Dip_2,Rake_2,Strike_2_c,Dip_2_cal,Rake_2_cal,Slab1,Depth2Slab
072597B,-30.69,-72.3,15,6,358,25,79,276,20,110,69,191,66,95,190,65,95,-11.94080067,-3.059
072797A,-30.64,-72.41,15,6.2,354,19,86,267,26,90,64,178,71,91,178,71,91,-10.4029417,-4.597
072881B,-41.97,-73.45,47,5.6,44,59,17,357,11,260,33,305,75,148,305,75,148,-49.94600296,2.946
072886B,-33.53,-72.47,18,5.7,4,22,100,266,23,76,66,174,68,86,173,68,86,-13.68135071,-4.319
072997A,-30.87,-72.96,42,5.2,340,46,65,267,2,172,72,194,49,114,194,49,114,,
072998A,-32.3,-71.67,58,6.4,181,40,116,73,8,187,72,329,55,70,329,55,70,-32.139431,-25.861
080290A,-32.14,-72.2,35,6,2,27,95,268,18,81,72,177,63,87,176,63,87,-15.89808655,-19.102
080299A,-33.08,-70.1,108,5.5,141,19,-151,312,51,99,34,23,81,-73,23,81,-73,-91.71417999,-16.286
080380A,-35.46,-69.82,164,5.3,2,20,93,270,25,87,65,179,70,89,179,70,89,-147.1505737,-16.849
080485B,-45.37,-76.14,10,5.8,199,24,-64,242,65,89,23,352,68,-101,351,69,-101,,
080487A,-40.63,-73.66,64,5.4,84,48,32,32,11,289,49,331,67,133,331,67,133,-35.68540573,-28.315
080499C,-31.87,-67.98,126,5.3,155,45,-139,353,56,98,10,33,62,-53,33,62,-53,-100.6464157,-25.354
080697D,-30.67,-71.89,15,5.5,339,5,63,274,41,99,49,186,85,92,186,86,92,-20.67503357,5.675
081186E,-31.19,-67.76,26,5.3,187,49,167,50,20,155,36,285,80,41,286,80,42,-93.83853912,67.839
081285A,-38.45,-73.94,17,6.2,16,15,111,269,31,77,59,174,76,84,174,76,85,-20.71553993,3.716
081299C,-45.37,-76.72,15,5.5,6,40,-20,344,44,230,23,111,77,-128,112,77,-128,,
081496F,-42.36,-72.81,33,5.2,215,29,-11,197,43,69,34,314,85,-119,315,85,-119,-80.81071472,47.811
081891D,-31.95,-71.9,46,5.2,312,18,37,264,33,114,54,186,79,105,186,79,105,-23.274683,-22.725
081897B,-30.08,-72.42,15,5.7,4,24,96,269,21,82,69,177,66,87,177,66,87,-9.791755676,-5.208
082085B,-33.97,-72.55,39,5.2,12,33,104,272,13,60,75,176,58,81,175,58,81,-14.2902813,-24.71
082178A,-31.79,-68.11,25,5.3,218,9,79,138,36,321,54,49,81,92,49,81,92,-99.21556091,74.216
082299A,-40.88,-75.44,15,6.4,202,45,-84,200,86,108,0,14,46,-96,14,45,-96,,
082498B,-32.84,-69.32,115,5.1,102,29,-106,230,71,24,17,300,62,-81,300,62,-81,-109.9817734,-5.018
082804C,-35.21,-70.36,16,6.5,21,61,-178,242,21,339,19,290,88,-29,290,88,-29,-116.7793655,100.779
082980A,-39.75,-73.37,45,5.4,171,29,140,45,23,177,57,298,72,67,297,72,67,-45.44546127,0.445
083079A,-31.4,-67.06,27,5.5,354,31,35,303,23,176,55,233,73,116,233,73,116,-102.2594376,75.259
090490F,-30.92,-68.66,118,5.7,215,44,-92,0,88,126,1,37,46,-88,38,46,-88,-92.41544342,-25.585
090586B,-37.05,-72.53,80,5.3,129,24,174,336,38,112,43,225,88,66,224,88,66,-53.14483261,-26.855
090682C,-32.08,-71.39,78,5.3,68,21,-166,256,46,37,37,326,85,-69,325,85,-70,-42.33795547,-35.662
090704F,-34.1,-72.49,14,5.2,10,16,105,268,29,78,60,174,74,86,174,75,86,-16.33617783,2.336
090704I,-34.14,-72.52,14,5.7,6,10,102,266,35,81,55,174,80,88,174,80,88,-16.76000595,2.76
090804A,-34.13,-72.4,15,5.1,359,23,98,263,22,74,68,170,67,86,170,67,87,-18.80389786,3.804
090996A,-32.06,-71.94,49,5.9,334,40,55,268,10,156,66,196,58,116,196,58,116,-21.95592308,-27.044
091004D,-38.06,-73.24,12,5.2,30,48,62,319,1,228,70,248,49,118,248,49,118,-35.12540436,23.125
091187B,-31.67,-71.02,114,5.2,52,10,-39,82,51,278,38,181,84,-98,181,84,-98,-61.67289734,-52.327
091198A,-30.46,-71.55,37,5.1,337,47,52,273,4,174,63,207,55,124,206,55,123,-32.48383713,-4.516
091204C,-34.31,-70.15,12,5.3,162,44,114,55,3,157,73,310,50,68,310,51,69,-105.2860413,93.286
091294B,-31.26,-72.13,47,5.9,306,21,51,246,28,96,59,167,74,103,167,74,104,-15.5730238,-31.427
091387C,-34.59,-70,15,5.9,27,58,176,249,19,348,25,119,87,32,119,87,32,-118.0818253,103.082
091483A,-36.4,-73.65,10,5.4,23,16,131,260,32,57,56,161,78,79,161,78,79,-18.40455246,8.405
091494C,-31.23,-72.09,28,5.4,26,32,131,267,18,36,62,160,66,68,160,66,68,-16.67419052,-11.326
091591E,-31.58,-69.96,123,5.8,262,87,0,217,2,127,2,172,90,177,172,90,-177,-97.99568176,-25.004
091794D,-32.48,-72.01,19,5.7,11,26,83,286,19,116,71,199,64,93,199,64,93,-21.07053375,2.071
091795B,-35.61,-74.47,15,5.6,184,42,-124,9,67,118,8,46,56,-63,46,56,-63,,
091981B,-39.45,-74.94,15,5.5,206,38,-53,207,65,90,12,342,61,-116,342,61,-115,-7.798221111,-7.202
092294C,-32.07,-71.9,27,5.4,61,36,21,18,25,259,46,314,78,124,314,78,124,-23.42034721,-3.58
092402B,-31.48,-69.12,120,6.2,27,39,-94,143,83,300,6,212,51,-87,212,51,-87,-99.00245667,-20.998
092704F,-32.72,-72.02,33,5.5,17,21,109,272,25,75,64,177,70,83,177,70,83,-21.26488876,-11.735
092803G,-35.54,-71.11,105,5.1,245,17,-66,300,60,136,29,39,74,-97,40,75,-97,-89.8753891,-15.125
092999E,-30.94,-72.6,15,5.7,352,31,87,264,14,91,76,175,59,92,175,59,92,-8.396038055,-6.604
093002B,-35.17,-71.07,114,5.2,222,23,-73,281,66,119,23,23,68,-97,24,68,-97,-85.11427307,-28.886
100192D,-39.04,-74.96,15,5.5,35,42,-51,27,63,278,9,167,58,-120,168,59,-120,-7.503141403,-7.497
100195A,-31.33,-71.76,90,5.4,180,18,-74,246,62,77,28,344,73,-95,343,73,-95,-27.12020874,-62.88
100395J,-30.86,-72.65,23,5.7,9,41,104,269,5,26,80,171,51,79,171,50,78,,
100998B,-47.21,-76.5,15,5.1,19,46,138,257,9,0,56,142,61,52,141,61,52,,
101098A,-33.87,-72.48,20,5.6,352,26,87,264,19,89,71,175,64,91,175,64,91,-14.48111439,-5.519
101179B,-33.41,-71.55,44,5.4,13,24,96,278,21,91,69,187,66,87,186,66,87,-37.90492249,-6.095
101190A,-34.17,-72.07,15,5.4,329,11,58,266,35,99,54,182,81,96,181,81,96,-27.75480652,12.755
101194A,-32.22,-71.91,58,5.7,284,33,37,231,21,107,56,162,71,118,162,71,117,-23.60967255,-34.39
101201B,-33.16,-69.04,15,5.3,222,78,171,88,2,178,15,314,81,12,314,81,12,-120.4439468,105.444
101597A,-31.06,-71.42,70,,315,12,-128,93,54,257,35,173,80,-83,174,81,-83,-41.28097153,-28.719
101681A,-33.48,-73.15,40,,194,34,96,100,11,262,78,6,56,86,7,56,86,,
102094A,-39.19,-70.8,170,5.9,234,15,161,85,39,237,48,343,85,76,342,85,76,-150.9101105,-19.09
102183A,-30.69,-68.61,132,5.4,323,30,-143,141,56,271,24,200,73,-65,200,72,-65,-91.5998764,-40.4
102301I,-43.39,-76.47,29,5.1,232,45,-27,209,47,101,16,342,71,-132,342,71,-132,,
102404A,-40.47,-75.32,17,4.8,2,40,-74,21,78,261,6,162,52,-103,161,52,-103,,
