id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
Z112377A,1977-11-23T09:26:24,-67.77,-31.03,13.0,7.4,mwc,183.0,44.0,90.0,4.0,46.0,90.0,89.0,289.0,0.0,184.0,1.0,94.0,,,,,,,us,5_us
690743,1977-11-23T09:26:26,-67.839,-31.119,15.0,7.45,mw,4.0,46.0,90.0,183.0,44.0,90.0,45.00000000000001,94.00000000000084,4.2097088515867364e-13,4.000000000000398,45.00000000000001,274.0,1.85,0.01,-1.86,0.01,0.07,-0.12,gem,5_gem
Z112377A,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.4,mw,183.0,44.0,90.0,4.0,46.0,90.0,89.0,289.0,0.0,184.0,1.0,94.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,gcmt,5_gcmt
690849,1977-11-24T18:20:15,-67.773,-31.383,15.0,5.57,mw,8.0,56.0,89.0,190.0,34.0,91.0,44.91779784823356,94.30067072202657,2.211463542456513,186.50743902880623,44.99688785103194,278.72031115474226,2.04,1.0,-3.04,0.15,1.08,-0.64,gem,6_gem
B112477A,1977-11-24T18:20:16,-67.63,-31.3,33.0,5.6,mwc,190.0,34.0,91.0,8.0,56.0,89.0,79.0,275.0,1.0,9.0,11.0,99.0,,,,,,,us,6_us
B112477A,1977-11-24T18:20:20,-68.05,-31.53,46.5,5.7,mw,190.0,34.0,91.0,8.0,56.0,89.0,79.0,275.0,1.0,9.0,11.0,99.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,gcmt,6_gcmt
691077,1977-11-28T04:19:34,-67.75,-31.701,20.0,5.58,mw,43.0,69.0,139.0,150.0,52.0,27.0,13.880671131954417,180.21630513931163,51.64514435036911,72.01906184531833,34.9094275209434,280.14669964933864,1.3,1.47,-2.77,1.33,0.55,-0.53,gem,7_gem
B112877B,1977-11-28T04:19:35,-67.75,-31.68,36.0,5.6,mwc,150.0,52.0,27.0,43.0,69.0,139.0,43.0,0.0,45.0,200.0,10.0,100.0,,,,,,,us,7_us
B112877B,1977-11-28T04:19:39,-68.21,-32.02,33.1,5.4,mw,150.0,52.0,27.0,43.0,69.0,139.0,43.0,0.0,45.0,200.0,10.0,100.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,gcmt,7_gcmt
B112877C,1977-11-28T06:31:29,-67.43,-31.35,16.0,6.1,mwc,182.0,21.0,106.0,345.0,70.0,84.0,64.0,246.0,6.0,347.0,25.0,80.0,,,,,,,us,8_us
691088,1977-11-28T06:31:29,-67.362,-31.498,15.0,6.14,mw,182.0,21.0,106.0,345.0,70.0,84.0,44.21644745463169,244.91743979021305,7.4122300267888175,342.1896754774277,44.82988731725938,79.6202154440245,1.17,0.22,-1.39,-0.42,1.49,0.21,gem,8_gem
B112877C,1977-11-28T06:31:38,-67.64,-31.67,15.0,5.8,mw,182.0,21.0,106.0,345.0,70.0,84.0,64.0,246.0,6.0,347.0,25.0,80.0,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,gcmt,8_gcmt
B120577B,1977-12-05T15:43:27,-67.7,-30.97,32.0,5.7,mwc,103.0,65.0,-5.0,195.0,86.0,-154.0,15.0,326.0,64.0,203.0,21.0,61.0,,,,,,,us,9_us
688709,1977-12-05T15:43:28,-68.05,-31.098,17.5,5.74,mw,103.0,65.0,-5.0,195.0,86.0,-154.0,20.084875906812083,326.432983127141,64.80686367935364,185.4203391049133,14.5676810362607,61.88569294105412,0.25,2.0,-2.24,-0.23,2.33,3.9,gem,9_gem
B120577B,1977-12-05T15:43:35,-68.22,-31.57,32.0,5.6,mw,103.0,65.0,-5.0,195.0,86.0,-154.0,15.0,326.0,64.0,203.0,21.0,61.0,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.3250000000000003e+17,3.903e+17,gcmt,9_gcmt
B120677A,1977-12-06T17:05:06,-67.72,-31.17,19.0,5.9,mwc,181.0,37.0,82.0,11.0,54.0,96.0,80.0,306.0,5.0,187.0,8.0,97.0,,,,,,,us,10_us
688753,1977-12-06T17:05:07,-68.046,-31.28,17.5,5.87,mw,11.0,54.0,96.0,181.0,37.0,82.0,41.20579168422248,125.97167044117111,15.100339088592031,22.305532513653134,44.894714285001136,276.7104463776212,6.12,2.79,-8.9,0.55,2.25,-1.37,gem,10_gem
