#,year,month,day,hour,minute,seconds,longitude,latitude,depth,rms,magnitude,magnitude_type
154,1982,8,19,6,6,59.44,-68.878525,-33.568123,-0.9412,1.2,,xx
155,1982,8,19,8,37,58.05,-69.483016,-27.537298,80.9042,0.78,,xx
156,1982,8,20,0,30,41.99,-69.103531,-31.562249,172.4904,0.44,,xx
157,1982,8,21,2,38,21.49,-70.833011,-33.469522,71.7214,0.73,,xx
158,1982,8,22,9,12,1.3,-71.815446,-32.768396,27.1986,0.77,,xx
159,1982,8,23,2,59,52.73,-69.411506,-31.701911,140.0244,0.59,,xx
160,1982,8,23,7,8,14.0,-71.50639,-31.947197,25.9288,1.04,,xx
161,1982,8,26,23,56,12.41,-70.715633,-29.287271,61.9485,0.35,,xx
162,1982,8,27,4,13,51.43,-71.266211,-33.203259,56.9628,0.33,,xx
163,1982,8,28,5,52,35.64,-70.054959,-33.8077,116.0875,0.44,,xx
164,1982,8,28,10,50,54.86,-69.909255,-33.632241,3.6762,0.33,,xx
165,1982,8,29,13,26,48.39,-71.337673,-33.285207,55.0984,0.64,,xx
166,1982,8,29,16,22,14.12,-70.780323,-34.684236,112.437,0.48,,xx
167,1982,8,30,1,6,7.98,-69.300789,-31.759521,107.91,0.53,,xx
168,1982,8,30,6,47,10.91,-71.955564,-33.773872,25.9324,0.98,,xx
169,1982,8,30,9,44,32.77,-71.981954,-32.960563,21.8661,0.6,,xx
170,1982,8,31,1,56,44.84,-71.697126,-32.541441,26.4209,0.45,,xx
171,1982,8,31,3,8,4.16,-71.62215,-31.936861,2.286,0.98,,xx
172,1982,9,2,22,55,27.88,-71.824081,-34.174427,42.2697,0.19,,xx
173,1982,9,3,0,2,17.88,-67.433534,-31.945702,-0.1871,1.37,,xx
174,1982,9,4,2,0,10.39,-70.023319,-31.705221,134.639,0.64,,xx
175,1982,9,4,4,39,46.59,-69.48996,-31.55599,149.7549,1.56,,xx
176,1982,9,5,4,46,47.36,-71.816892,-33.624206,26.9709,0.57,,xx
177,1982,9,6,19,16,38.25,-70.786328,-31.835172,95.5467,0.95,,xx
178,1982,9,6,20,48,45.21,-68.894091,-31.474294,1.5618,0.72,,xx
179,1982,9,6,23,41,36.94,-70.037192,-32.652576,100.8743,0.59,,xx
180,1982,9,7,2,21,12.32,-70.010949,-31.639251,146.1966,0.48,,xx
181,1982,9,7,20,38,41.11,-72.222518,-33.051,18.618,1.23,,xx
182,1982,9,8,5,10,27.31,-69.675875,-32.034886,127.1884,0.48,,xx
183,1982,9,8,10,20,47.05,-70.671293,-33.687986,24.9247,0.57,,xx
184,1982,9,8,13,30,9.2,-70.137517,-33.373484,101.5774,0.42,,xx
185,1982,9,8,18,23,17.15,-72.124425,-33.141166,16.3229,0.76,,xx
186,1982,9,9,4,17,27.38,-69.848567,-31.629132,102.9114,0.29,,xx
187,1982,9,9,4,28,17.56,-71.326201,-32.215278,48.1414,0.28,,xx
188,1982,9,9,19,43,48.05,-68.281709,-31.580716,105.297,0.88,,xx
189,1982,9,9,22,46,48.88,-71.92615,-31.523218,3.515,1.21,,xx
190,1982,9,10,3,3,59.6,-71.32908,-35.069955,118.0338,0.57,,xx
191,1982,9,10,3,18,36.97,-70.951605,-35.116229,108.8142,0.47,,xx
192,1982,9,10,18,27,6.91,-68.134728,-31.042875,96.3546,0.59,,xx
193,1982,9,10,18,29,39.25,-70.292938,-33.146627,7.5988,0.38,,xx
194,1982,9,10,19,9,13.48,-70.734956,-34.148321,114.8217,0.71,,xx
195,1982,9,11,0,42,25.72,-72.112795,-33.124091,5.5585,0.64,,xx
196,1982,9,11,8,30,50.21,-68.725398,-33.569516,17.1898,0.36,,xx
197,1982,9,11,13,43,44.29,-67.715139,-31.233179,-0.6652,0.55,,xx
198,1982,9,11,21,1,8.2,-69.89852,-35.293689,185.614,0.44,,xx
199,1982,9,13,1,37,41.64,-69.682849,-32.595058,110.5092,0.7,,xx
200,1982,9,13,3,8,58.09,-69.674413,-31.801968,129.4978,0.25,,xx
201,1982,9,13,4,48,27.62,-68.124234,-31.672747,72.1988,1.07,,xx
202,1982,9,13,20,6,38.98,-71.213332,-33.076415,59.4791,1.1,,xx
203,1982,9,14,3,9,27.99,-69.011153,-31.326584,60.0691,0.86,,xx
204,1982,9,14,16,29,21.95,-68.808093,-31.234088,86.5099,1.05,,xx
205,1982,9,15,13,38,17.7,-69.177938,-31.237973,67.9451,0.66,,xx
206,1982,9,15,18,16,15.47,-72.444437,-33.379141,20.5946,0.45,,xx
207,1982,9,15,22,9,50.45,-67.931886,-30.871716,224.3055,0.67,,xx
208,1982,9,15,22,36,35.06,-67.49674,-31.612198,-0.4959,1.38,,xx
209,1982,9,16,4,42,37.23,-71.948784,-32.223433,14.1862,0.93,,xx
210,1982,9,16,4,48,39.53,-70.150288,-34.037636,0.9929,0.33,,xx
211,1982,9,18,2,7,42.33,-69.891849,-31.794832,127.8103,0.79,,xx
212,1982,9,18,16,39,9.71,-70.448897,-34.852795,-1.6789,0.95,,xx
213,1982,9,20,20,26,59.28,-69.794617,-31.668832,71.1661,0.76,,xx
214,1982,9,21,2,59,55.41,-71.570663,-32.664028,26.8733,0.95,,xx
215,1982,9,21,4,45,50.36,-70.796063,-33.199941,75.1563,1.36,,xx
216,1982,9,21,8,3,29.29,-71.746458,-35.038137,32.2778,0.85,,xx
217,1982,9,21,19,10,23.77,-69.003144,-31.503694,103.5804,0.67,,xx
218,1982,9,22,5,14,10.86,-71.475998,-32.200095,59.18,0.53,,xx
219,1982,9,22,11,47,6.45,-71.671541,-32.023723,28.3412,0.69,,xx
220,1982,9,22,12,0,5.66,-70.327809,-32.706498,94.8264,1.05,,xx
221,1982,9,23,18,30,40.1,-67.545604,-31.966385,180.0328,1.73,,xx
222,1982,9,24,4,40,32.86,-71.28658,-31.291217,63.7311,0.26,,xx
223,1982,9,24,8,6,23.62,-70.108275,-32.535898,99.0181,0.69,,xx
224,1982,9,24,11,32,29.47,-67.926116,-31.311338,-3.0112,1.34,,xx
225,1982,9,25,11,27,24.26,-71.68076,-32.214251,5.8082,0.41,,xx
226,1982,9,26,0,29,19.9,-67.907591,-31.738073,11.6824,1.37,,xx
227,1982,9,26,4,56,36.0,-70.298025,-32.689603,94.6207,0.42,,xx
228,1982,9,26,12,43,50.66,-71.40282,-33.28957,47.4037,0.77,,xx
229,1982,9,26,16,1,58.39,-71.893526,-33.520138,7.8131,0.74,,xx
230,1982,9,27,3,24,45.21,-71.115526,-34.136563,64.9625,0.16,,xx
231,1982,9,27,6,24,52.97,-69.884867,-31.525231,136.1237,0.52,,xx
232,1982,9,27,10,9,25.79,-71.77138,-33.15105,0.4157,0.47,,xx
233,1982,9,27,16,16,30.16,-70.182491,-32.020495,105.3444,0.54,,xx
234,1982,9,27,17,0,11.52,-70.103016,-33.363904,9.377,0.28,,xx
235,1982,9,28,11,46,33.2,-71.809133,-33.529382,34.3678,0.61,,xx
236,1982,9,28,13,58,42.69,-71.931411,-33.561585,34.4928,0.67,,xx
237,1982,9,28,14,32,2.33,-69.978869,-34.263038,33.9647,0.67,,xx
238,1982,9,30,2,2,3.14,-70.320652,-32.811824,90.1959,0.55,,xx
239,1982,9,30,5,4,51.08,-72.202499,-34.672881,24.782,0.9,,xx
240,1982,9,30,5,6,59.72,-72.000777,-32.188,9.2121,1.07,,xx
241,1982,9,30,5,43,15.69,-71.899162,-32.12282,11.9444,1.2,,xx
242,1982,9,30,13,25,10.35,-70.762506,-32.202759,95.4228,0.31,,xx
243,1982,9,30,15,1,34.59,-70.858223,-32.36327,81.2689,0.35,,xx
244,1982,9,30,17,46,3.2,-71.911415,-32.236983,1.4691,0.5,,xx
245,1982,9,30,17,49,20.44,-69.339658,-31.488629,105.6366,1.39,,xx
246,1982,10,1,9,28,3.1,-70.087635,-32.71122,52.4704,1.69,,xx
247,1982,10,1,15,38,17.72,-70.771404,-34.562787,97.461,0.28,,xx
248,1982,10,1,17,22,52.74,-69.540672,-32.655516,122.1233,0.64,,xx
249,1982,10,1,18,2,29.18,-69.29118,-30.517059,104.6874,1.2,,xx
250,1982,10,1,18,55,37.6,-69.822856,-32.403022,101.4658,0.13,,xx
251,1982,10,2,1,51,6.5,-71.461169,-31.160024,51.4992,0.39,,xx
252,1982,10,2,22,14,17.68,-71.406894,-32.096058,61.183,1.73,,xx
253,1982,10,4,9,15,2.47,-70.115653,-32.193174,123.7308,0.31,,xx
254,1982,10,5,7,45,32.95,-70.119364,-33.04504,63.8582,0.17,,xx
255,1982,10,5,16,6,23.94,-71.607438,-32.721944,3.339,0.76,,xx
256,1982,10,5,19,38,45.47,-69.073958,-29.995646,127.1725,0.61,,xx
257,1982,10,5,19,42,24.04,-72.065919,-33.043387,7.1314,1.08,,xx
258,1982,10,5,20,37,18.49,-71.888865,-32.164329,11.3068,0.74,,xx
259,1982,10,6,3,39,54.89,-71.511984,-32.446945,51.1916,0.78,,xx
260,1982,10,8,1,55,20.5,-67.424119,-30.064264,276.0597,1.2,,xx
261,1982,10,9,15,32,19.95,-69.087947,-31.821649,106.1414,0.77,,xx
262,1982,10,9,15,42,11.21,-71.819575,-32.214816,20.2744,0.8,,xx
263,1982,10,9,16,23,53.3,-69.434358,-31.377213,106.0667,0.62,,xx
264,1982,10,9,21,30,14.16,-71.030779,-34.799816,106.2861,0.68,,xx
265,1982,10,10,15,32,46.09,-70.231805,-32.922286,95.5868,0.45,,xx
266,1982,10,10,22,22,53.07,-72.01547,-30.510167,33.9858,0.99,,xx
267,1982,10,13,10,51,52.58,-71.924034,-34.045908,28.0605,1.07,,xx
268,1982,10,14,3,56,50.14,-71.107957,-33.261685,62.8687,0.23,,xx
269,1982,10,14,4,49,38.86,-69.174894,-31.932537,117.4778,0.71,,xx
270,1982,10,14,19,0,43.3,-71.628741,-31.263115,7.002,1.53,,xx
271,1982,10,15,17,40,45.73,-67.721508,-31.485882,58.8217,1.17,,xx
272,1982,10,16,18,36,38.54,-70.248839,-33.143286,101.1728,0.49,,xx
273,1982,10,16,22,5,34.13,-70.897034,-29.195765,102.2839,0.73,,xx
274,1982,10,18,13,39,35.16,-71.418258,-32.082245,64.2252,1.44,,xx
275,1982,10,18,20,38,56.87,-69.724899,-31.55326,100.6224,0.76,,xx
