Date;origin time;Longitude;Latitude;Depth (km);x_error (km);y_error (km);z_error (km);Ml;N. Obs.;RMS;GAP;Mw
25.01.15;12:41:39.30;-71.582;-38.386;-0.9;1.4;2.5;1.8;1.6;5;0.2;180;1.8
26.01.15;12:05:32.70;-72.517;-39.277;27;0.6;0.9;1.1;2;13;0.2;284;2.1
26.01.15;15:33:35.70;-71.758;-39.279;4;0.6;0.8;3;1;3;0;162;1.6
27.01.15;00:54:23.90;-71.734;-38.928;8.5;0.5;0.6;0.8;1;12;0.2;136;1.6
29.01.15;16:08:04.90;-72.256;-39.151;19.1;0.5;1.1;2.3;1.5;7;0.3;262;1.6
08.02.15;06:05:52.10;-71.62;-39.111;0.1;0.5;0.3;1.8;0.8;4;0.3;152;1.1
10.02.15;02:16:11.70;-71.883;-39.427;8.8;0.2;0.4;0.3;1.9;11;0.5;131;2.3
13.02.15;16:22:51.40;-71.745;-38.861;13.2;0.3;0.7;0.7;1.9;13;0.6;102;2.4
17.02.15;01:24:16.20;-72.233;-39.135;18.9;0.7;1.1;3.5;1.6;7;0.3;248;1.4
18.02.15;08:02:22.90;-71.921;-39.679;8.9;0.4;0.5;0.4;1.5;11;0.3;198;1.5
19.02.15;05:56:58.70;-71.893;-39.726;0;1.4;1.5;2.8;0.2;3;0;229;X.X
19.02.15;13:02:51.60;-71.766;-38.936;9.1;0.3;0.6;0.6;1.3;8;0.5;130;1.8
19.02.15;15:12:17.20;-71.845;-39.443;9;0.2;0.4;0.4;2;23;0.4;129;2.4
