id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201109140703A,2011-09-14T07:03:00,-32.8,-71.88,26,5.9,mw,359,16,84,185,74,92,61,98,29,274,,,,,,,,,gmt,subduction_interface
201109282240A,2011-09-28T22:40:00,-38.05,-74.45,12,5.5,mw,6,15,82,194,75,92,60,107,30,283,,,,,,,,,gmt,subduction_interface
201109291540A,2011-09-29T15:40:00,-38.06,-74.56,12,5.2,mw,3,22,87,187,68,91,67,98,23,275,,,,,,,,,gmt,subduction_interface
201201231604A,2012-01-23T16:04:00,-36.5,-73.42,22,6.1,mw,13,19,101,182,71,86,63,85,26,274,,,,,,,,,gmt,subduction_interface
201202110258A,2012-02-11T02:58:00,-37.54,-73.68,24,5.6,mw,3,22,93,180,68,89,67,88,23,271,,,,,,,,,gmt,subduction_interface
201202170801A,2012-02-17T08:01:00,-37.27,-74.29,17,5.1,mw,350,25,66,197,67,101,66,125,22,278,,,,,,,,,gmt,subduction_interface
201204030211A,2012-04-03T02:11:00,-33.86,-72.63,14,5.1,mw,5,22,84,191,68,92,67,106,23,280,,,,,,,,,gmt,subduction_interface
201211191645A,2012-11-19T16:45:00,-33.92,-72.42,21,5.1,mw,351,23,78,184,67,95,67,103,22,270,,,,,,,,,gmt,subduction_interface
201211201623A,2012-11-20T16:23:00,-33.99,-72.4,19,5.4,mw,16,20,100,185,71,87,65,89,25,278,,,,,,,,,gmt,subduction_interface
201211212136A,2012-11-21T21:36:00,-34.05,-72.31,21,5.9,mw,6,20,106,169,70,84,64,70,26,264,,,,,,,,,gmt,subduction_interface
201212261317A,2012-12-26T13:17:00,-37.41,-73.78,25,5.4,mw,4,17,92,182,73,89,62,91,28,272,,,,,,,,,gmt,subduction_interface
201212270037A,2012-12-27T00:37:00,-35.89,-73.77,12,5.8,mw,14,16,94,190,74,89,61,98,29,281,,,,,,,,,gmt,subduction_interface
201301230247A,2013-01-23T02:47:00,-31.82,-71.62,30,5.1,mw,336,25,71,176,66,99,67,103,21,260,,,,,,,,,gmt,subduction_interface
201302181000A,2013-02-18T10:00:00,-34.05,-72.39,17,5.4,mw,5,18,95,180,72,89,63,87,27,271,,,,,,,,,gmt,subduction_interface
201303290730A,2013-03-29T07:30:00,-35.44,-73.28,14,5.4,mw,23,19,111,181,72,83,62,80,27,276,,,,,,,,,gmt,subduction_interface
201309292306A,2013-09-29T23:06:00,-37.53,-73.89,20,5.3,mw,4,20,92,182,70,89,65,91,25,272,,,,,,,,,gmt,subduction_interface
201309292323A,2013-09-29T23:23:00,-37.57,-73.81,22,5.5,mw,358,20,86,182,70,91,65,95,25,271,,,,,,,,,gmt,subduction_interface
201310300229A,2013-10-30T02:29:00,-35.46,-73.36,13,5.9,mw,15,18,91,194,72,90,63,103,27,284,,,,,,,,,gmt,subduction_interface
201310300251A,2013-10-30T02:51:00,-35.43,-73.48,12,6.3,mw,19,17,92,196,73,89,62,106,28,287,,,,,,,,,gmt,subduction_interface
201403030317A,2014-03-03T03:17:00,-33.21,-72.11,22,5.2,mw,2,24,96,176,67,87,69,80,21,267,,,,,,,,,gmt,subduction_interface
201403041051A,2014-03-04T10:51:00,-33.63,-72.16,23,5.8,mw,15,22,104,180,68,84,66,80,23,274,,,,,,,,,gmt,subduction_interface
201403151446A,2014-03-15T14:46:00,-34.8,-71.86,47,5.2,mw,22,24,115,175,69,79,65,67,23,273,,,,,,,,,gmt,subduction_interface
